,CustomerID,Age_Group,Rating(1-5),Hotel,FoodPreference,Bill,NoOfPax,EstimatedSalary
0,1,20-25,4.0,Ibis,Veg,1300.0,2.0,40000.0
1,2,30-35,5.0,LemonTree,Non-Veg,2000.0,3.0,59000.0
2,3,25-30,,RedFox,Veg,1322.0,2.0,30000.0
3,4,20-25,,LemonTree,Veg,1234.0,2.0,120000.0
4,5,35+,3.0,Ibis,Veg,989.0,2.0,45000.0
5,6,35+,3.0,Ibis,Non-Veg,1909.0,2.0,122220.0
6,7,35+,4.0,RedFox,Veg,1000.0,,21122.0
7,8,20-25,,LemonTree,Veg,2999.0,,345673.0
8,9,25-30,2.0,Ibis,Non-Veg,3456.0,3.0,
9,10,30-35,5.0,RedFox,Non-Veg,,4.0,87777.0
